"","responseid","x","q55_1","q55_2","q55_3","q55_4","q55_5","q55_6","q55_7","hightemp","x.x","q55_13","q55_14","q55_15","q55_16","q55_17","q55_18","q55_19","q55_20","solitaryt","x.y","q55_8","q55_9","q55_10","q55_11","q55_12","socialt","q53_97","q53_98","q53_93","q53_99","q53_100","q53_101","q53_102","q53_104","q53_89","q53_91","q53_86","q53_79","q53_77","q53_94","q53_75","q53_73","q53_71","q53_69","avoidance","q53_1","q53_70","q53_72","q53_74","q53_76","q53_78","q53_80","q53_81","q53_82","q53_83","q53_84","q53_85","q53_87","q53_88","q53_90","q53_92","q53_95","q53_96","anxiety","STRAQ","anxiety2","avoidance2","wellbeing","anxious","selfesteem","selfdiscipline","loneliness","sdo2","rightprej","impulsive","thoughtful","trusting","rwa2","stimulation","sociable","leader","empathic"
"47","R_1MNbQyRs6GsjILI",236,2,2,3,4,3,2,1,2.42857142857143,236,5,4,5,3,4,4,4,5,4.25,236,2,4,4,4,4,3.6,3,5,3,1,3,3,2,1,2,2,1,2,2,2,2,3,2,3,2.33333333333333,6,5,3,5,3,5,5,5,5,2,4,5,5,4,6,5,6,1,4.44444444444444,3.85,4.5625,2.33333333333333,2.73333333333333,2.8,2.94444444444444,3.55555555555556,2.05555555555556,5.09090909090909,3.42105263157895,3.92307692307692,4.18181818181818,1.6,3.4,4.4,2.11111111111111,2.69230769230769,4.64285714285714
"48","R_1NhmQqZUEIo7EeJ",198,3,2,5,5,4,3,3,3.57142857142857,198,4,4,4,5,4,2,3,2,3.5,198,5,5,3,3,3,3.8,1,4,1,1,1,1,1,2,1,1,1,1,1,1,1,4,1,1,1.38888888888889,4,3,1,4,7,4,1,4,2,1,4,1,2,1,1,4,2,1,2.61111111111111,3.2,2.75,1.38888888888889,2.9,3.3,2.55555555555556,2.5,3.05555555555556,6.72727272727273,5.42105263157895,3.38461538461538,3.45454545454545,3,3.33333333333333,3.8,3.55555555555556,NA,3.57142857142857
"49","R_1nMWlYDN7tWq6YX",206,4,2,4,5,3,5,2,3.57142857142857,206,4,3,3,4,5,5,5,1,3.75,206,2,3,3,1,3,2.4,6,1,3,1,2,4,3,2,2,1,2,3,3,6,2,3,2,2,2.66666666666667,1,2,4,4,4,5,2,4,7,2,7,4,1,2,5,5,4,3,3.66666666666667,2.95,3.6875,2.66666666666667,3.16666666666667,2.1,2.11111111111111,1.66666666666667,3.44444444444444,6.18181818181818,1.68421052631579,3.15384615384615,3.90909090909091,3.2,3.13333333333333,4.6,3.66666666666667,2,4.57142857142857
"50","R_1Nt9yJMyvxl2CVT",93,3,1,2,4,2,4,2,2.57142857142857,93,2,2,2,4,4,4,2,4,3,93,3,3,4,4,4,3.6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,1,1,1,7,6,4,1,1,1,3,1,1,1,1,6,1,1,2.5,3.3,2.6875,1,3.7,2.2,1.5,3.77777777777778,3.83333333333333,5.36363636363636,3.26315789473684,4.38461538461539,3.90909090909091,3.8,2.86666666666667,4.4,4.44444444444444,4.53846153846154,5
"51","R_1NttJnFntvZrfN7",201,2,1,1,1,2,2,1,1.42857142857143,201,5,4,4,3,5,1,1,2,3.125,201,1,4,2,4,3,2.8,5,6,5,2,5,5,2,3,3,4,6,5,3,5,3,2,2,3,3.83333333333333,2,2,4,2,2,2,2,6,6,2,5,2,2,2,2,2,2,2,2.72222222222222,3.55,2.8125,3.83333333333333,3.73333333333333,2.3,2.33333333333333,2.88888888888889,3.77777777777778,3.81818181818182,4.78947368421053,2.92307692307692,2.81818181818182,3.4,2.93333333333333,3.4,3.55555555555556,2.84615384615385,3.21428571428571
"52","R_1OosO7gNfD0N8fc",120,5,2,5,5,3,5,2,3.85714285714286,120,4,3,3,3,4,4,2,2,3.125,120,1,4,1,2,5,2.6,2,1,2,2,2,2,4,2,2,2,3,6,2,2,3,5,1,4,2.61111111111111,3,3,4,2,4,6,3,3,5,5,4,3,2,1,4,5,6,4,3.72222222222222,2.65,3.5625,2.61111111111111,2.56666666666667,2.7,3.27777777777778,2.66666666666667,2.44444444444444,6.81818181818182,2.31578947368421,3.53846153846154,2.27272727272727,2.2,1.86666666666667,3.6,3.77777777777778,3.07692307692308,4.14285714285714
"53","R_1Or6Lkqr8Z5rq8E",225,3,3,5,5,5,5,3,4.14285714285714,225,1,1,1,4,1,1,1,3,1.625,225,1,3,1,1,1,1.4,7,7,7,4,7,7,6,6,7,5,4,7,4,6,7,4,7,4,5.88888888888889,7,7,7,7,7,7,7,7,7,4,1,4,4,4,7,7,7,4,5.83333333333333,1.65,5.875,5.88888888888889,2.23333333333333,2.8,3,1.72222222222222,2.05555555555556,5.81818181818182,1.42105263157895,4,4.36363636363636,1.6,1.2,1.6,1,2.92307692307692,3.5
"54","R_1pPCPYvyMjc7FTc",180,2,1,4,1,NA,2,2,NA,180,4,2,5,5,4,5,5,2,4,180,2,4,5,5,5,4.2,1,1,7,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1.38888888888889,6,1,1,1,7,1,6,6,2,1,7,7,1,1,1,6,2,7,3.55555555555556,NA,3.4375,1.38888888888889,2.66666666666667,3,NA,3.38888888888889,3.44444444444444,7,3,NA,3.36363636363636,1.8,NA,3.4,4.22222222222222,3.53846153846154,5
"55","R_1pZ4ifvrfUm3q1S",177,3,2,4,4,2,4,3,3.14285714285714,177,2,4,4,4,4,4,4,3,3.625,177,3,3,3,4,3,3.2,5,4,3,4,6,4,5,3,5,2,3,4,4,2,4,3,4,3,3.77777777777778,5,5,5,3,5,4,5,3,6,5,5,2,7,1,3,4,5,5,4.33333333333333,3.25,4.25,3.77777777777778,3.36666666666667,2.7,2.33333333333333,3.5,2.77777777777778,4.63636363636364,3.31578947368421,3.38461538461538,2.81818181818182,NA,4.4,3.4,NA,3.38461538461538,3.71428571428571
"56","R_1qagK4iWnq5ckLh",208,4,5,5,5,5,5,4,4.71428571428571,208,2,2,2,3,4,4,1,3,2.625,208,1,4,4,4,4,3.4,1,1,2,1,1,1,1,2,7,1,1,1,1,1,2,2,1,1,1.55555555555556,3,4,3,1,2,2,3,2,2,2,2,3,2,2,3,1,6,2,2.5,2.35,2.3125,1.55555555555556,2.16666666666667,2.2,4.11111111111111,2.05555555555556,3.16666666666667,5.72727272727273,1.47368421052632,3.53846153846154,2,3.8,1.53333333333333,4,1.22222222222222,1.53846153846154,4
"57","R_1qfWXA1fMGX9n45",195,3,2,4,4,2,3,2,2.85714285714286,195,2,2,2,3,5,4,5,4,3.375,195,2,4,2,5,4,3.4,2,1,2,1,2,1,1,1,6,2,1,1,2,2,2,5,1,5,2.11111111111111,4,5,6,3,6,6,5,5,2,2,3,3,2,1,2,4,5,3,3.72222222222222,3.3,3.6875,2.11111111111111,3.43333333333333,3.3,2.55555555555556,3.66666666666667,3.61111111111111,6.54545454545455,2.52631578947368,3.76923076923077,3.18181818181818,3.6,2,4.2,3.66666666666667,3.15384615384615,4.71428571428571
"58","R_1qU5LWZoV1py0HN",191,5,2,2,4,4,3,2,3.14285714285714,191,4,3,3,3,4,2,4,4,3.375,191,3,4,4,4,5,4,2,2,3,1,1,4,2,1,2,2,2,2,1,1,3,2,1,2,1.88888888888889,4,3,3,5,6,2,6,4,4,4,6,2,4,6,6,5,5,1,4.22222222222222,3.35,4.375,1.88888888888889,NA,2.3,1.94444444444444,3,3.38888888888889,6.18181818181818,3.26315789473684,3.61538461538462,3.27272727272727,3.8,1.86666666666667,4.6,3.55555555555556,3.15384615384615,4.14285714285714
"59","R_1rGLdEBCXTJwazq",248,4,2,4,4,3,3,2,3.14285714285714,248,5,3,5,4,5,2,3,1,3.5,248,4,4,2,5,2,3.4,1,2,5,1,2,1,1,1,1,2,1,1,2,1,1,3,1,1,1.55555555555556,2,2,1,1,4,3,2,4,2,1,5,1,3,1,3,3,6,1,2.5,3.25,2.375,1.55555555555556,3.6,2.2,3.55555555555556,2.55555555555556,3.5,7,2.63157894736842,4.07692307692308,2.36363636363636,3.6,1.33333333333333,4.6,3.22222222222222,3.23076923076923,4.85714285714286
"60","R_20MeJa81vHXylqY",181,3,2,4,4,3,4,2,3.14285714285714,181,4,5,2,4,3,5,4,4,3.875,181,2,5,3,2,3,3,3,2,1,1,3,3,1,2,2,3,2,3,1,1,2,2,1,3,2,2,2,3,2,4,2,2,4,3,1,6,3,4,4,2,6,1,2,2.94444444444444,3.3,3.125,2,2.36666666666667,3,NA,3.38888888888889,3.61111111111111,6.36363636363636,1.89473684210526,4.38461538461539,2.18181818181818,3.2,1.53333333333333,4,2.77777777777778,2.92307692307692,4.5
"61","R_21yoOmzIHnkYJx7",252,5,5,5,5,5,4,2,4.42857142857143,252,5,2,3,4,4,4,2,2,3.25,252,2,4,2,4,3,3,6,3,4,2,2,2,2,2,1,2,2,2,3,3,3,2,1,2,2.44444444444444,6,6,6,6,6,7,4,5,6,4,7,3,5,5,6,6,7,1,5.33333333333333,2.6,5.5,2.44444444444444,2.46666666666667,3.6,3.22222222222222,2.94444444444444,1.88888888888889,4.54545454545455,4.68421052631579,3.38461538461538,4,2.4,3.73333333333333,3.8,1.66666666666667,2.46153846153846,4.21428571428571
"62","R_23fxYANR4VGBgNI",22,4,4,4,4,4,2,2,3.42857142857143,22,1,2,1,2,2,2,3,2,1.875,22,1,5,2,3,1,2.4,1,1,1,1,1,1,1,4,4,1,4,1,1,1,1,1,1,1,1.5,1,1,1,1,1,4,1,2,1,1,7,1,1,1,1,1,1,1,1.55555555555556,2.25,1.625,1.5,3.56666666666667,1.6,1.33333333333333,2.88888888888889,3.55555555555556,7,1.57894736842105,3.07692307692308,3.45454545454545,2.4,1.46666666666667,4,2,4.23076923076923,2.78571428571429
"63","R_240Hxu5zyzfR4js",15,5,2,4,5,5,5,4,4.28571428571429,15,4,2,2,5,2,4,4,2,3.125,15,3,3,2,4,4,3.2,5,3,5,2,2,1,1,2,3,3,1,1,3,1,5,3,3,3,2.61111111111111,5,6,6,7,7,7,7,7,6,6,7,7,4,5,6,3,6,6,6,2.65,6,2.61111111111111,2.13333333333333,2.9,3.55555555555556,1.94444444444444,1.44444444444444,4.54545454545455,3.47368421052632,3,3,3.8,3.73333333333333,3.8,1.66666666666667,3.61538461538462,4.14285714285714
"64","R_24CzaCs2KMUFQoB",77,4,2,4,4,4,4,2,3.42857142857143,77,3,3,4,3,3,4,4,4,3.5,77,2,3,4,4,4,3.4,5,3,4,2,5,3,1,3,5,2,2,3,2,3,2,3,3,3,3,7,6,6,7,7,7,7,7,6,5,6,2,6,5,5,7,6,4,5.88888888888889,3.15,6,3,2.23333333333333,3.6,2.83333333333333,3.55555555555556,2.83333333333333,5.54545454545455,3.52631578947368,2.84615384615385,2.81818181818182,2.4,2.66666666666667,3.6,2.77777777777778,3.46153846153846,3.28571428571429
"65","R_24H26j93oct4T21",41,5,2,3,5,4,5,4,4,41,5,2,3,2,3,4,4,4,3.375,41,2,5,5,5,5,4.4,3,2,5,2,1,2,1,3,2,2,1,2,1,2,1,4,2,2,2.11111111111111,7,6,5,4,5,7,7,6,5,3,7,2,1,2,5,4,7,1,4.66666666666667,3.15,4.75,2.11111111111111,2.63333333333333,3.8,3.05555555555556,3.94444444444444,3.83333333333333,5.27272727272727,2.84210526315789,2.38461538461538,3,3.2,1.8,3.8,3,2.92307692307692,5
"66","R_24u7lSZYI42RpFi",207,2,2,4,4,2,4,1,2.71428571428571,207,5,5,4,4,5,5,1,4,4.125,207,2,2,1,4,2,2.2,7,1,7,7,7,6,6,6,4,4,4,6,4,4,6,4,5,4,5.11111111111111,7,6,6,6,7,6,6,7,6,4,2,4,4,4,7,7,7,4,5.55555555555556,3.35,5.5625,5.11111111111111,3.1,1.2,3.55555555555556,2.27777777777778,2.61111111111111,5.09090909090909,2.78947368421053,2.38461538461538,3.27272727272727,1.8,1.2,3.6,2.66666666666667,3.53846153846154,4
"67","R_25HP96RQrX56gnX",40,2,5,4,4,4,2,3,3.42857142857143,40,2,2,2,3,4,4,3,3,2.875,40,2,2,2,4,3,2.6,6,4,4,5,5,5,4,4,5,3,4,4,4,4,4,4,5,5,4.38888888888889,6,4,5,3,3,4,6,4,4,4,5,4,4,4,6,6,3,4,4.38888888888889,2.7,4.5,4.38888888888889,2.96666666666667,2.8,2.27777777777778,2.77777777777778,2.27777777777778,3.45454545454545,3.10526315789474,3.53846153846154,2.63636363636364,2.4,3.8,4,3,3.30769230769231,2.5
"68","R_2712FIcrBaS1CUy",78,2,2,2,2,3,5,1,2.42857142857143,78,5,5,5,4,5,5,5,NA,NA,78,2,4,4,4,2,3.2,7,2,4,2,2,4,7,2,2,1,3,2,1,7,3,2,5,4,3.33333333333333,6,6,5,6,3,4,5,6,6,4,6,4,6,3,5,4,5,5,4.94444444444444,NA,4.9375,3.33333333333333,2.56666666666667,3.3,2.61111111111111,3,NA,5,2.73684210526316,3.07692307692308,2.63636363636364,2.2,3.06666666666667,3,3.44444444444444,3.38461538461538,3.71428571428571
"69","R_271YPhnkuc2kzUr",50,3,2,3,2,3,2,1,2.28571428571429,50,5,5,5,5,5,5,5,4,4.875,50,3,3,4,4,4,3.6,1,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,1.38888888888889,7,7,7,7,7,7,7,6,7,5,7,1,7,2,6,7,7,1,5.83333333333333,4.15,6.0625,1.38888888888889,2.66666666666667,3.1,2.83333333333333,1.72222222222222,2.94444444444444,5.63636363636364,2.78947368421053,4.23076923076923,3.18181818181818,3.2,2.26666666666667,4.8,3.33333333333333,2.84615384615385,4.78571428571429
"70","R_272Q568xaOi2Ki4",131,4,2,4,5,4,5,2,3.71428571428571,131,2,1,1,4,2,4,4,2,2.5,131,2,4,2,3,4,3,5,3,3,2,5,2,3,2,3,2,3,3,3,4,3,4,3,4,3.16666666666667,3,2,2,3,2,7,1,2,5,4,5,1,1,1,3,4,6,1,2.94444444444444,2.55,2.875,3.16666666666667,3.2,1.8,2.83333333333333,1.66666666666667,NA,6.45454545454545,2.05263157894737,3.46153846153846,2.54545454545455,3,1.66666666666667,3.8,2.66666666666667,2.76923076923077,4.78571428571429
"71","R_27EfpNlHmyOYear",106,4,1,1,4,3,3,3,2.71428571428571,106,5,3,2,2,4,2,3,4,3.125,106,1,5,5,5,5,4.2,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,3,1,3,1.5,6,7,1,6,7,5,5,5,2,1,2,2,2,1,3,1,4,2,3.44444444444444,3.45,3.5,1.5,2.8,3.6,3.22222222222222,1.88888888888889,3.11111111111111,5.72727272727273,3.68421052631579,2.53846153846154,3.54545454545455,4.4,2.4,3.2,2.55555555555556,2.84615384615385,4.35714285714286
"72","R_27H80XvN1fHZY5i",100,1,1,1,1,1,1,1,1,100,5,5,5,5,5,5,5,5,5,100,1,2,5,5,4,3.4,1,1,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1.33333333333333,6,3,3,2,7,6,4,3,2,1,4,1,2,3,1,1,4,1,3,4.6,3.0625,1.33333333333333,4.2,3.4,1.94444444444444,3.16666666666667,3.72222222222222,4.36363636363636,4.36842105263158,4.38461538461539,1.45454545454545,2.2,1.8,2.2,2.44444444444444,4.07692307692308,4.71428571428571
"73","R_27riF55soQdw6Dv",103,4,2,4,3,4,4,1,3.14285714285714,103,1,1,5,2,4,2,5,5,3.125,103,2,4,5,5,4,4,1,7,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1.55555555555556,7,7,2,4,1,4,6,1,6,1,7,1,1,1,2,1,7,2,3.38888888888889,3.25,3.25,1.55555555555556,2.86666666666667,2.7,2.22222222222222,4.27777777777778,2.5,6.45454545454545,2.94736842105263,4.76923076923077,3.90909090909091,1.8,1.93333333333333,5,1.77777777777778,4.46153846153846,4.78571428571429
"74","R_27sBc2YqgOcJHKO",51,5,2,4,5,1,4,1,3.14285714285714,51,5,1,2,4,5,2,1,4,3,51,1,1,5,4,5,3.2,1,2,1,1,1,1,1,1,7,1,2,1,1,1,1,2,1,4,1.66666666666667,5,6,6,5,3,5,1,5,6,1,6,1,1,1,1,5,1,3,3.44444444444444,3,3.625,1.66666666666667,3.76666666666667,2,1.72222222222222,3.11111111111111,3.5,6,4.15789473684211,4.15384615384615,2.90909090909091,4,1.53333333333333,3.8,3.66666666666667,3.76923076923077,4.64285714285714
"75","R_27vTyUXDB7mwOJr",98,5,4,4,4,4,4,4,4.14285714285714,98,4,1,1,2,2,2,3,1,2,98,3,3,2,4,2,2.8,6,6,6,5,6,6,6,6,2,5,6,6,6,5,1,6,6,6,5.33333333333333,3,2,4,2,2,3,2,2,2,2,5,1,5,1,5,2,5,1,2.72222222222222,2.15,2.6875,5.33333333333333,2.83333333333333,3.5,3.38888888888889,4.16666666666667,3.44444444444444,7,1.26315789473684,4.30769230769231,4.09090909090909,2.6,1.06666666666667,4.6,1.88888888888889,3.76923076923077,3.92857142857143
"76","R_28B7g9g69iTO2LP",160,4,2,2,4,5,4,1,3.14285714285714,160,5,4,4,4,4,5,4,2,4,160,2,2,1,1,4,2,2,3,3,2,5,2,1,4,5,3,5,2,3,5,5,7,2,7,3.66666666666667,7,7,7,6,7,6,7,7,7,7,7,6,2,6,7,7,7,2,6.22222222222222,3.1,6.4375,3.66666666666667,2.16666666666667,3.8,3.44444444444444,3.16666666666667,1.88888888888889,5.45454545454545,3.15789473684211,2.23076923076923,4,3,2.53333333333333,3.8,2.22222222222222,3,4.64285714285714
"77","R_28ZhEOauAbLbsdX",18,4,2,3,4,2,3,1,2.71428571428571,18,5,4,3,3,5,3,3,3,3.625,18,1,1,1,4,1,1.6,4,3,4,4,5,4,NA,4,4,4,4,6,3,5,5,4,3,4,NA,2,2,2,1,1,5,2,3,1,1,5,1,1,1,6,1,3,1,2.16666666666667,3,2.1875,NA,3.43333333333333,2.2,1.72222222222222,3.66666666666667,2.83333333333333,6.54545454545455,1.84210526315789,4.15384615384615,3,3.4,2.4,4.6,3.66666666666667,3.07692307692308,4.92857142857143
"78","R_29mMC0XAWgx6OUf",144,5,2,5,5,5,5,2,4.14285714285714,144,5,5,2,5,4,5,5,3,4.25,144,2,5,2,5,5,3.8,1,1,3,1,2,1,1,1,1,1,1,1,1,1,5,1,1,1,1.38888888888889,7,5,3,3,7,7,7,7,3,2,6,2,5,2,5,4,5,3,4.61111111111111,3.3,4.6875,1.38888888888889,1.83333333333333,4.3,3.22222222222222,1.5,2.61111111111111,6.54545454545455,3.89473684210526,2.76923076923077,3.09090909090909,2.6,2.06666666666667,3.4,1.77777777777778,1.76923076923077,4.21428571428571
"79","R_2aDM2dIgaqVofDi",3,4,2,4,4,4,3,2,3.28571428571429,3,4,4,3,4,4,4,4,2,3.625,3,1,2,1,2,2,1.6,6,5,5,5,5,5,3,5,5,3,3,5,3,5,6,5,6,5,4.72222222222222,6,5,6,5,6,7,5,6,6,3,7,2,2,3,5,5,7,2,4.88888888888889,2.8,4.9375,4.72222222222222,2.06666666666667,3.8,3.77777777777778,2.5,3.22222222222222,6.90909090909091,2.15789473684211,2.46153846153846,3,3.6,1.46666666666667,4.4,3.66666666666667,1.38461538461538,5.07142857142857
"80","R_2AFpHs4qgeVa5DJ",91,2,2,2,2,2,2,2,2,91,4,2,2,2,4,4,4,3,3.125,91,2,3,4,4,4,3.4,3,2,5,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2.88888888888889,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3.5,3,2.88888888888889,3.73333333333333,2,2.27777777777778,3.61111111111111,3.55555555555556,5,3.10526315789474,4,2,3.8,3.6,3.4,3.77777777777778,3.07692307692308,3.85714285714286
"81","R_2aPiqdsEQWRDRNA",85,2,2,2,4,2,3,2,2.42857142857143,85,4,4,3,4,4,3,4,3,3.625,85,2,2,2,2,3,2.2,5,3,2,5,5,5,5,5,3,3,3,3,3,5,3,3,3,3,3.72222222222222,3,3,3,3,3,3,5,3,3,3,5,5,3,3,5,2,5,3,3.5,3.25,3.4375,3.72222222222222,3.13333333333333,2.3,2.16666666666667,3.33333333333333,3.22222222222222,5.27272727272727,5.57894736842105,2.69230769230769,3.18181818181818,3.8,3.66666666666667,NA,3.66666666666667,3.92307692307692,4
"82","R_2awt5rZxDS4AMGH",146,4,2,4,4,4,2,2,3.14285714285714,146,3,2,2,2,3,2,4,3,2.625,146,1,3,1,2,2,1.8,4,5,4,5,7,3,5,5,5,3,2,2,2,5,5,3,6,3,4.11111111111111,5,5,6,5,6,5,3,5,5,5,5,2,2,3,5,2,6,2,4.27777777777778,2.5,4.3125,4.11111111111111,3.8,2.2,2.27777777777778,2.94444444444444,3.33333333333333,5.54545454545455,3.21052631578947,3.69230769230769,3.54545454545455,3.4,1.53333333333333,4.8,2.33333333333333,3.30769230769231,4.21428571428571
"83","R_2b1wCauaG4LqsZm",162,1,1,2,3,2,4,3,2.28571428571429,162,5,4,5,4,4,5,3,2,4,162,2,4,2,2,3,2.6,1,2,5,2,2,2,2,2,2,2,2,4,2,2,5,2,1,2,2.33333333333333,6,5,3,5,7,5,3,6,6,5,5,4,2,4,2,5,6,1,4.44444444444444,3.55,4.5625,2.33333333333333,2.43333333333333,2.9,1.5,3.94444444444444,3.22222222222222,6.63636363636364,1.52631578947368,4,2.63636363636364,2.8,1.2,5,4,3.76923076923077,4.64285714285714
"84","R_2bGWZuWMsEpmrGl",235,2,2,5,4,2,4,3,3.14285714285714,235,2,3,4,2,4,4,4,2,3.125,235,3,4,4,3,4,3.6,3,1,1,1,1,2,7,1,1,1,1,1,1,1,5,2,1,2,1.83333333333333,5,5,2,4,7,4,5,6,2,1,5,2,6,6,5,6,7,1,4.38888888888889,3.15,4.4375,1.83333333333333,NA,2.6,2.05555555555556,2.77777777777778,3.11111111111111,6.54545454545455,2.73684210526316,3.07692307692308,3.63636363636364,3.2,3.2,4.4,2.44444444444444,3,3.5
"85","R_2c1SjbSoLWRgDGr",233,2,1,2,2,1,2,1,1.57142857142857,233,4,4,2,2,4,4,5,2,3.375,233,3,4,2,3,4,3.2,2,2,2,2,1,3,2,2,2,2,1,2,2,1,2,1,1,2,1.77777777777778,2,2,1,1,2,2,3,3,6,3,2,3,2,2,1,3,3,1,2.33333333333333,3.7,2.375,1.77777777777778,3.86666666666667,1.7,1.38888888888889,4.05555555555556,3.11111111111111,5.45454545454545,2.84210526315789,4.61538461538461,2.54545454545455,2.6,1.6,4.2,3.88888888888889,4.46153846153846,3.64285714285714
"86","R_2cbmmIytmEFuY9i",74,3,5,5,5,4,3,5,4.28571428571429,74,1,4,1,1,2,4,5,4,2.75,74,4,4,5,3,5,4.2,1,1,1,7,1,4,1,3,3,1,1,1,1,2,3,6,3,5,2.5,5,1,7,5,7,2,7,7,5,3,5,1,5,3,5,3,6,1,4.33333333333333,2.75,4.4375,2.5,3.36666666666667,2.2,1.22222222222222,4.16666666666667,3.72222222222222,5.45454545454545,1.84210526315789,3.53846153846154,4.27272727272727,3.4,1.4,5,4.33333333333333,4.46153846153846,4.21428571428571
"87","R_2czHubsr69K5b43",202,4,2,2,4,2,4,2,2.85714285714286,202,2,2,2,3,3,2,4,3,2.625,202,4,4,4,5,4,4.2,3,2,2,1,3,1,2,1,1,1,1,1,2,3,1,3,2,1,1.72222222222222,4,2,3,3,3,7,4,5,5,1,3,2,6,3,4,7,3,1,3.66666666666667,3.2,3.875,1.72222222222222,3.2,2.8,2.22222222222222,3.38888888888889,3.83333333333333,5.90909090909091,3.15789473684211,4.23076923076923,3,2,2.33333333333333,3.2,2.55555555555556,3.15384615384615,4.42857142857143
"88","R_2CZnvP0Qk3eclhc",35,5,5,5,5,5,5,3,4.71428571428571,35,5,4,5,1,2,5,5,4,3.875,35,1,1,2,4,1,1.8,1,5,4,5,5,6,7,7,2,5,4,3,1,5,3,6,7,3,4.38888888888889,2,5,4,1,2,1,3,5,3,4,7,1,1,1,1,5,1,5,2.88888888888889,2.45,2.875,4.38888888888889,3.06666666666667,3.1,2.22222222222222,4.5,3.05555555555556,7,1.57894736842105,3.69230769230769,4.09090909090909,2.2,1.73333333333333,5,3.22222222222222,3.92307692307692,5.14285714285714
"89","R_2dmSFM6tE0C0idm",147,4,3,4,5,4,5,2,3.85714285714286,147,4,2,4,2,2,4,3,2,2.875,147,4,4,5,3,5,4.2,3,2,2,1,2,1,1,2,6,2,2,3,2,1,2,1,2,2,2.05555555555556,6,6,5,5,4,6,2,6,6,4,6,5,1,5,2,6,6,1,4.55555555555556,2.95,4.6875,2.05555555555556,3.1,2.9,2.94444444444444,3.72222222222222,2.77777777777778,4.54545454545455,4.05263157894737,3.92307692307692,1.90909090909091,3.8,1.8,3.2,4.33333333333333,3.84615384615385,4.71428571428571
"90","R_2drNa7r2StnKLey",30,3,1,1,1,1,4,1,1.71428571428571,30,4,4,3,5,3,3,4,5,3.875,30,1,3,2,5,1,2.4,3,1,4,1,1,1,1,1,1,1,1,1,1,4,4,2,1,2,1.72222222222222,7,4,4,4,7,4,6,5,5,1,4,4,1,1,5,7,7,4,4.44444444444444,3.65,4.3125,1.72222222222222,2.76666666666667,3.3,2.88888888888889,3.27777777777778,3.11111111111111,6.72727272727273,4.21052631578947,3.61538461538462,2.36363636363636,2.6,2.4,3.6,3.66666666666667,2.84615384615385,4.85714285714286
"91","R_2E4DCK7Yy9SzZGw",139,2,3,4,3,2,5,3,3.14285714285714,139,2,2,1,1,3,2,1,2,1.75,139,1,4,3,4,3,3,2,3,1,2,1,2,1,1,1,2,3,1,1,1,3,2,2,2,1.72222222222222,2,1,2,1,2,2,2,4,2,1,2,1,1,1,5,5,5,1,2.22222222222222,2.45,2.125,1.72222222222222,3.8,2.2,2.66666666666667,3.27777777777778,3.94444444444444,6.54545454545455,2.84210526315789,3.92307692307692,4,4,2.66666666666667,4.4,4.66666666666667,2.76923076923077,4.57142857142857
"92","R_2e8Yh6xSTzuW0Yy",179,4,1,2,2,4,4,1,2.57142857142857,179,5,4,5,4,4,3,4,3,4,179,2,4,5,3,5,3.8,3,4,4,3,4,4,2,5,5,3,3,4,4,3,2,4,5,5,3.72222222222222,6,5,5,5,7,5,6,5,5,2,5,3,3,3,3,5,2,4,4.38888888888889,3.75,4.5625,3.72222222222222,2.83333333333333,2.1,1.88888888888889,3.94444444444444,3.11111111111111,6.27272727272727,2.57894736842105,3.61538461538462,3,3.6,4.33333333333333,3.2,2.55555555555556,3.53846153846154,4.28571428571429
"93","R_2EmILdFrAcXoxp3",25,2,1,1,2,3,4,1,2,25,5,4,4,2,5,5,4,4,4.125,25,1,4,5,5,4,3.8,1,2,4,1,1,1,1,1,1,1,2,2,1,1,2,1,1,3,1.5,1,5,1,4,6,4,3,4,4,4,4,1,4,4,1,6,6,2,3.55555555555556,4,3.5,1.5,3.33333333333333,2.3,2.22222222222222,3.5,3.44444444444444,6,3.26315789473684,4.15384615384615,3,3.4,2.73333333333333,3.2,3.66666666666667,3.46153846153846,4.78571428571429
"94","R_2eUNYQaPxDnlY71",168,NA,NA,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
